Ground-truth,frame,xnano,ynano,znano,intensity
1, 4, 28415.21, 14800.34, 100.54, 4861.02
2, 4, 9030.67, 15247.04, 99.95, 4861.02
3, 4, 18026.52, 12892.78, 100.32, 4861.02
4, 4, 25491.61, 13745.44, 100.22, 4861.02
5, 4, 24385.36, 13458.36, 99.49, 4861.02
6, 4, 12180.67, 17498.15, 100.98, 4861.02
7, 4, 18896.63, 17087.69, 100.95, 4861.02
8, 4, 5153.16, 19648.82, 99.17, 4861.02
9, 4, 18311.95, 21305.22, 99.88, 4861.02
10, 4, 27330.39, 24043.12, 100.73, 4861.02
11, 4, 17754.68, 25493.33, 100.65, 4861.02
12, 4, 8441.38, 22848.71, 99.14, 4861.02
